frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.flags.ack,tcp.flags.syn,tcp.flags.fin,udp.srcport,udp.dstport,udp.length,icmp.type,icmp.code
"1","Mar 29, 2024 07:11:08.003302000 EDT","192.168.40.121","192.168.42.4","22","38032","124","True","False","False",,,,,
"2","Mar 29, 2024 07:11:08.003731000 EDT","192.168.42.4","192.168.40.121","38032","22","0","True","False","False",,,,,
"3","Mar 29, 2024 07:11:08.007057000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"4","Mar 29, 2024 07:11:08.007167000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"5","Mar 29, 2024 07:11:08.028267000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"6","Mar 29, 2024 07:11:08.028442000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"7","Mar 29, 2024 07:11:08.048344000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"8","Mar 29, 2024 07:11:08.048530000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"9","Mar 29, 2024 07:11:08.068522000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"10","Mar 29, 2024 07:11:08.068742000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"11","Mar 29, 2024 07:11:08.088614000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"12","Mar 29, 2024 07:11:08.088800000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"13","Mar 29, 2024 07:11:08.108895000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"14","Mar 29, 2024 07:11:08.109098000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"15","Mar 29, 2024 07:11:08.130134000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"16","Mar 29, 2024 07:11:08.130354000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"17","Mar 29, 2024 07:11:08.151468000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"18","Mar 29, 2024 07:11:08.151657000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"19","Mar 29, 2024 07:11:08.171283000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"20","Mar 29, 2024 07:11:08.171437000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"21","Mar 29, 2024 07:11:08.192146000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
"22","Mar 29, 2024 07:11:08.192328000 EDT","192.168.40.121","192.168.42.4","22","38032","36","True","False","False",,,,,
"23","Mar 29, 2024 07:11:08.212910000 EDT","192.168.42.4","192.168.40.121","38032","22","36","True","False","False",,,,,
